Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C20,100nF,C_0402_1005Metric,208.788,200.152,180.0,bottom
C23,100nF,C_0402_1005Metric,248.92,200.406,180.0,bottom
C25,100nF,C_0402_1005Metric,205.908589,170.348589,315.0,bottom
D1,IR12-21C/TR8 or VSMB10940,TR8,224.924995,161.8,270.0,bottom
D2,IR12-21C/TR8 or VSMB10940,TR8,218.299995,161.8,270.0,bottom
D3,IN-PI55TATPRPGPB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.74,196.85,0.0,bottom
D4,IN-PI55TATPRPGPB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,246.38,196.85,0.0,bottom
D5,IN-PI55TATPRPGPB,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.74,165.354,315.0,bottom
Qt1,PT26-51B/TR8 or PT12-21B/TR8,TR8,218.3,179.19999,90.0,bottom
Qt2,PT26-51B/TR8 or PT12-21B/TR8,TR8,224.900005,179.19999,90.0,bottom
R1,100,R_0805_2012Metric,207.01,190.5,270.0,bottom
R16,1k,R_0805_2012Metric,203.962,200.914,180.0,bottom
R17,1k,R_0805_2012Metric,213.614,163.068,180.0,bottom
R2,1k,R_0805_2012Metric,232.41,195.58,270.0,bottom
R3,100,R_0805_2012Metric,210.82,190.5,90.0,bottom
R4,1k,R_0805_2012Metric,229.87,195.58,270.0,bottom
SW1,D2LS-21,D2LS-21,241.2,188.9,180.0,bottom
SW2,D2LS-21,D2LS-21,234.287495,162.575,0.0,bottom
SW3,D2LS-21,D2LS-21,220.66,188.9,0.0,bottom
